epoch,r1_rec,r2_rec,r3_rec,r1_ndcg,r2_ndcg,r3_ndcg,AUC,time,,m2,m1
24,0.449878251,0.624035683,0.789613818,0.910374348,0.900056728,0.889499857,0.879226647,333.4726391,,0.789613818,0.79093371
25,0.451493981,0.62517352,0.791479872,0.909660023,0.89974826,0.889169722,0.883543285,339.0494998,,0.791479872,0.794916141
26,0.450583711,0.624399791,0.792981817,0.909437019,0.899410263,0.888866548,0.884889019,335.0353906,,0.792981817,0.784174954
27,0.448649387,0.621782764,0.791889493,0.909567087,0.899467344,0.888605844,0.879885532,336.8444893,,0.791889493,0.789955169
28,0.450970576,0.625560385,0.794119655,0.909962553,0.899915469,0.889252432,0.880424233,339.5111523,,0.794119655,0.780351819
29,0.451812575,0.625605899,0.793163871,0.909223248,0.899482679,0.888933488,0.885008511,349.8320267,,0.793163871,0.79359625
30,0.451880846,0.627130601,0.794938898,0.908392416,0.898641643,0.88835045,0.886126046,341.0193079,,0.794938898,0.794756844
31,0.453314521,0.626470655,0.794210682,0.91091175,0.900848832,0.889808838,0.884020585,338.251368,,0.794210682,0.791730196
32,0.451858089,0.623603304,0.786063764,0.909499889,0.899584275,0.889267308,0.874270865,336.6132033,,0.786063764,0.795166466
33,0.45226771,0.624286007,0.791457115,0.909028207,0.899406099,0.88893529,0.880947283,341.1637135,,0.791457115,0.794392736
34,0.455317115,0.626288601,0.787383656,0.911772655,0.901557946,0.891023222,0.872420318,335.3591444,,0.787383656,0.792026034
35,0.451107116,0.62510525,0.791548142,0.910648785,0.900449896,0.88970205,0.877266538,336.9464946,,0.791548142,0.792777007
36,0.451698792,0.624536331,0.795029925,0.90951203,0.899708825,0.889061813,0.885488418,338.6708322,,0.795029925,0.795803655
37,0.452472521,0.626607196,0.792617709,0.910341977,0.900340503,0.889681291,0.878556695,333.4869051,,0.792617709,0.79359625
38,0.45044717,0.623671575,0.791593655,0.909243412,0.899371336,0.88877765,0.88187372,347.0904193,,0.791593655,0.793323169
39,0.4529049,0.622875088,0.792503926,0.910549617,0.900606676,0.889800607,0.883651157,338.058588,,0.792503926,0.792139817
40,0.453314521,0.62678925,0.792458412,0.910276129,0.900319169,0.889793497,0.877290882,337.4237258,,0.792458412,0.791821223
41,0.452631818,0.624581845,0.791275061,0.910431833,0.900547611,0.889786543,0.877953754,334.7335024,,0.791275061,0.792845277
42,0.454111007,0.625901736,0.794870628,0.910988765,0.900970906,0.890193588,0.88504818,335.703753,,0.794870628,0.791866736
43,0.452540791,0.626698223,0.797351114,0.910141015,0.900142349,0.889398913,0.885980873,336.6868181,,0.797351114,0.794005871
44,0.453928953,0.626129304,0.792503926,0.910499406,0.900486765,0.889826187,0.882557216,337.6369295,,0.792503926,0.794392736
45,0.453155224,0.627517466,0.796486357,0.910742537,0.9008429,0.890008225,0.888559248,337.940124,,0.796486357,0.796804952
46,0.454088251,0.627062331,0.79534852,0.911235822,0.901149629,0.890358861,0.880272201,336.1951816,,0.79534852,0.794461006
47,0.454816467,0.628040871,0.794074142,0.910869034,0.900950451,0.8903063,0.878016121,340.0669169,,0.794074142,0.790205493
48,0.453974467,0.627085087,0.796099493,0.911005079,0.900981155,0.890070757,0.883923394,338.3908246,,0.796099493,0.793436952
